Food,Calories,Fat,Sodium,Potassium,Carbohydrate,Protein,Vitamin A,Vitamin C,Calcium,Iron
Honeydew_Melon,36,0.14,18,228,9,0.54,34,18,6,0.17
Potato,77,0.09,6,421,17,2,1.34,19.7,12,0.78
Sweet Corn,86,1.18,15,270,19,3.2,0,6.8,2,0.52
Celery,16,0.17,80,260,2.79,0.69,0,3.1,40,0.2
Pomegranates,83,1.17,3,236,18.7,1.67,0,10.2,10,0.3
Cherries,63,0.2,0,222,16,1.1,0,7,13,0.36
Tomato,18,0.2,5,237,3.9,0.9,0.042,14,11,0.5
Strawberries,33,0.3,1,154,7.68,0.67,8,59,16,0.41
Beetroot,43,0.17,78,325,9.56,1.61,0,5,16,0.8
Cucumber,16,0.11,2,147,3.63,0.65,1,2.8,16,0.28
Pollock,87,1,166,370,0,37,0,0,75,0.29
Octopus,82,1,230,350,2.2,14.91,0.045,5,53,5.3
Grapes,69,0.16,2,191,18,0.72,67,3.2,10,0.36
Bell Pepper,20,0.17,3,175,4.64,0.86,0.018,80.4,10,0.34
Salmon,142,6.34,44,490,0,19.84,26.8,3.7,12,0.8
Tangerine,53,0.31,2,166,13.34,0.81,0.034,26.7,37,0.15
Scallops,69,0.5,392,205,3.2,12,0,0,0,0.4
Orange Roughy,75,0.7,72,167,0,16.4,0,0,9,1
Watermelon,30,0.15,1,112,7.55,0.61,0.028,8.1,7,0.24
Tuna,130,0.6,54,527,0,29,43.55,0,0,0.9
Blue Crab,83,0.7,395,259,0,18,0,3.3,91,0.5
Plums,46,0.28,0,157,11.42,0.7,0.017,9.5,6,0.17
Swordfish,172,8,97,499,0,23,86.43,0,0,0.5
Lime,30,0.2,2,102,10.5,0.7,33.5,29.1,33,0.6
Pumpkin,26,0.1,1,340,6.5,1,0.426,9,21,0.8
Squid,92,1.4,44,246,3.1,16,22.11,4.7,32,0.7
French Beans,31,0.22,6,211,6.97,1.83,0.035,12.2,37,1.03
Shrimp,99,0.3,111,259,0.2,24,0,0,70,0.5
Apple,52,0.17,1,107,13.81,0.26,0,4.6,6,0.12
Haddock,112,0.93,213,399,0,24.24,0.017,0,42,1.35
Catfish,144,7.2,119,366,0,18,0,0,44,1.4
Peach,39,0.25,0,190,9.54,0.91,0.016,6.6,6,0.25
Eggplant,25,0.18,2,229,5.88,0.98,15.41,2.2,9,0.23
Sweet Lime,43,0.3,0,490,9.3,0.75,13.4,50,40,0.7
Sole,86,1.9,95,230,0,17.1,0,0,18.2,0.1
Carrot,41,0.24,69,320,9.6,0.93,0.895,5.9,33,0.3
Pineapple,50,0.12,1,109,13.12,0.54,38.86,47.8,13,0.29
Ocean Perch,79,1.5,287,187,0,15,26.8,0,28,0.22
Cauliflower,25,0.3,30,299,5,1.9,0,48.2,22,0.42
Sweet Potato,86,0.1,55,337,20,1.6,0.709,2.4,30,0.61
Halibut,111,1.6,82,528,0,23,0,0,3,1
Summer_Squash,20,0,0,262,4.1,1,0.09,18.4,20,0.37
Rockfish,90,1.3,74,386,0,18.4,0,0,14,0.3
Kiwifruit,61,0.52,3,312,14.66,1.14,0.122,92.7,34,0.31
Cabbage,25,0.1,18,170,5.8,1.28,65.66,36.6,40,0.47
Onion,40,0.1,4,146,9.34,1.1,1.34,7.4,23,0.21
Broccoli,34,0.37,33,316,6.64,2.82,0.031,89.2,47,0.73
Cod,82,0.7,54,413,0,18,0,1,16,0.4
Lobster,143,1.9,227,208,3.1,26,2,0,6,2
Mango,60,0.38,1,168,15,0.82,0.054,36.4,11,0.16
Leaf Lettuce,13,0.22,5,238,2.23,1.35,0.166,3.7,35,1.24
Spinach,23,0.3,70,466,3.8,3,0.469,28,99,2.7
Radishes,16,0.1,39,233,3.4,0.68,4.69,14.8,25,0.34
Grapefruit,33,0.1,0,148,8,0.7,22.11,33.3,12,0.1
Tilapia,128,2.7,56,380,0,26,0,0,14,0.7
Rainbow Trout,138,5,35,451,0,20,187,2.9,67,0.7
Cantaloupe,34,0.19,16,267,8.16,0.84,0.169,36.7,9,0.21
Asparagus,20,0.12,2,202,4,2.2,0.038,5.6,24,2.14
Mushrooms,22,0.1,6,448,4.3,2.5,0,0,18,0.4
Banana,89,0.33,1,358,22.84,1.09,42.88,8.7,5,0.26
Pear,57,0.14,1,116,15.23,0.36,16.75,4.3,9,0.18
